# Unicode Characters in the Cuneiform Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform/list.htm
"U+120EF", "\xe1\x88\x8e\x46", "CUNEIFORM SIGN GABA CROSSING GABA (U+120EF)"
"U+120F0", "\xe1\x88\x8f\x30", "CUNEIFORM SIGN GAD (U+120F0)"
"U+120F1", "\xe1\x88\x8f\x31", "CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR (U+120F1)"
"U+120F2", "\xe1\x88\x8f\x32", "CUNEIFORM SIGN GAL (U+120F2)"
"U+120F3", "\xe1\x88\x8f\x33", "CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR (U+120F3)"
"U+120F4", "\xe1\x88\x8f\x34", "CUNEIFORM SIGN GALAM (U+120F4)"
"U+120F5", "\xe1\x88\x8f\x35", "CUNEIFORM SIGN GAM (U+120F5)"
"U+120F6", "\xe1\x88\x8f\x36", "CUNEIFORM SIGN GAN (U+120F6)"
"U+120F7", "\xe1\x88\x8f\x37", "CUNEIFORM SIGN GAN2 (U+120F7)"
"U+120F8", "\xe1\x88\x8f\x38", "CUNEIFORM SIGN GAN2 TENU (U+120F8)"
"U+120F9", "\xe1\x88\x8f\x39", "CUNEIFORM SIGN GAN2 OVER GAN2 (U+120F9)"
"U+120FA", "\xe1\x88\x8f\x41", "CUNEIFORM SIGN GAN2 CROSSING GAN2 (U+120FA)"
"U+120FB", "\xe1\x88\x8f\x42", "CUNEIFORM SIGN GAR (U+120FB)"
"U+120FC", "\xe1\x88\x8f\x43", "CUNEIFORM SIGN GAR3 (U+120FC)"
