# Unicode Characters in the Miscellaneous Symbols And Pictographs Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_symbols_and_pictographs/list.htm
"U+1F418", "\xe1\xbd\x81\x38", "ELEPHANT (U+1F418)"
"U+1F419", "\xe1\xbd\x81\x39", "OCTOPUS (U+1F419)"
"U+1F41A", "\xe1\xbd\x81\x41", "SPIRAL SHELL (U+1F41A)"
"U+1F41B", "\xe1\xbd\x81\x42", "BUG (U+1F41B)"
"U+1F41C", "\xe1\xbd\x81\x43", "ANT (U+1F41C)"
"U+1F41D", "\xe1\xbd\x81\x44", "HONEYBEE (U+1F41D)"
"U+1F41E", "\xe1\xbd\x81\x45", "LADY BEETLE (U+1F41E)"
"U+1F41F", "\xe1\xbd\x81\x46", "FISH (U+1F41F)"
"U+1F420", "\xe1\xbd\x82\x30", "TROPICAL FISH (U+1F420)"
"U+1F421", "\xe1\xbd\x82\x31", "BLOWFISH (U+1F421)"
"U+1F422", "\xe1\xbd\x82\x32", "TURTLE (U+1F422)"
"U+1F423", "\xe1\xbd\x82\x33", "HATCHING CHICK (U+1F423)"
"U+1F424", "\xe1\xbd\x82\x34", "BABY CHICK (U+1F424)"
"U+1F425", "\xe1\xbd\x82\x35", "FRONT-FACING BABY CHICK (U+1F425)"
"U+1F426", "\xe1\xbd\x82\x36", "BIRD (U+1F426)"
"U+1F427", "\xe1\xbd\x82\x37", "PENGUIN (U+1F427)"
"U+1F428", "\xe1\xbd\x82\x38", "KOALA (U+1F428)"
"U+1F429", "\xe1\xbd\x82\x39", "POODLE (U+1F429)"
"U+1F42A", "\xe1\xbd\x82\x41", "DROMEDARY CAMEL (U+1F42A)"
"U+1F42B", "\xe1\xbd\x82\x42", "BACTRIAN CAMEL (U+1F42B)"
"U+1F42C", "\xe1\xbd\x82\x43", "DOLPHIN (U+1F42C)"
"U+1F42D", "\xe1\xbd\x82\x44", "MOUSE FACE (U+1F42D)"
"U+1F42E", "\xe1\xbd\x82\x45", "COW FACE (U+1F42E)"
"U+1F42F", "\xe1\xbd\x82\x46", "TIGER FACE (U+1F42F)"
"U+1F430", "\xe1\xbd\x83\x30", "RABBIT FACE (U+1F430)"
"U+1F431", "\xe1\xbd\x83\x31", "CAT FACE (U+1F431)"
"U+1F432", "\xe1\xbd\x83\x32", "DRAGON FACE (U+1F432)"
"U+1F433", "\xe1\xbd\x83\x33", "SPOUTING WHALE (U+1F433)"
"U+1F434", "\xe1\xbd\x83\x34", "HORSE FACE (U+1F434)"
"U+1F435", "\xe1\xbd\x83\x35", "MONKEY FACE (U+1F435)"
"U+1F436", "\xe1\xbd\x83\x36", "DOG FACE (U+1F436)"
"U+1F437", "\xe1\xbd\x83\x37", "PIG FACE (U+1F437)"
"U+1F438", "\xe1\xbd\x83\x38", "FROG FACE (U+1F438)"
"U+1F439", "\xe1\xbd\x83\x39", "HAMSTER FACE (U+1F439)"
"U+1F43A", "\xe1\xbd\x83\x41", "WOLF FACE (U+1F43A)"
"U+1F43B", "\xe1\xbd\x83\x42", "BEAR FACE (U+1F43B)"
"U+1F43C", "\xe1\xbd\x83\x43", "PANDA FACE (U+1F43C)"
"U+1F43D", "\xe1\xbd\x83\x44", "PIG NOSE (U+1F43D)"
"U+1F43E", "\xe1\xbd\x83\x45", "PAW PRINTS (U+1F43E)"
"U+1F440", "\xe1\xbd\x84\x30", "EYES (U+1F440)"
"U+1F442", "\xe1\xbd\x84\x32", "EAR (U+1F442)"
"U+1F443", "\xe1\xbd\x84\x33", "NOSE (U+1F443)"
"U+1F444", "\xe1\xbd\x84\x34", "MOUTH (U+1F444)"
"U+1F445", "\xe1\xbd\x84\x35", "TONGUE (U+1F445)"
"U+1F446", "\xe1\xbd\x84\x36", "WHITE UP POINTING BACKHAND INDEX (U+1F446)"
"U+1F447", "\xe1\xbd\x84\x37", "WHITE DOWN POINTING BACKHAND INDEX (U+1F447)"
"U+1F448", "\xe1\xbd\x84\x38", "WHITE LEFT POINTING BACKHAND INDEX (U+1F448)"
"U+1F449", "\xe1\xbd\x84\x39", "WHITE RIGHT POINTING BACKHAND INDEX (U+1F449)"
"U+1F44A", "\xe1\xbd\x84\x41", "FISTED HAND SIGN (U+1F44A)"
"U+1F44B", "\xe1\xbd\x84\x42", "WAVING HAND SIGN (U+1F44B)"
"U+1F44C", "\xe1\xbd\x84\x43", "OK HAND SIGN (U+1F44C)"
"U+1F44D", "\xe1\xbd\x84\x44", "THUMBS UP SIGN (U+1F44D)"
"U+1F44E", "\xe1\xbd\x84\x45", "THUMBS DOWN SIGN (U+1F44E)"
"U+1F44F", "\xe1\xbd\x84\x46", "CLAPPING HANDS SIGN (U+1F44F)"
"U+1F450", "\xe1\xbd\x85\x30", "OPEN HANDS SIGN (U+1F450)"
"U+1F451", "\xe1\xbd\x85\x31", "CROWN (U+1F451)"
"U+1F452", "\xe1\xbd\x85\x32", "WOMANS HAT (U+1F452)"
"U+1F453", "\xe1\xbd\x85\x33", "EYEGLASSES (U+1F453)"
"U+1F454", "\xe1\xbd\x85\x34", "NECKTIE (U+1F454)"
"U+1F455", "\xe1\xbd\x85\x35", "T-SHIRT (U+1F455)"
"U+1F456", "\xe1\xbd\x85\x36", "JEANS (U+1F456)"
"U+1F457", "\xe1\xbd\x85\x37", "DRESS (U+1F457)"
"U+1F458", "\xe1\xbd\x85\x38", "KIMONO (U+1F458)"
"U+1F459", "\xe1\xbd\x85\x39", "BIKINI (U+1F459)"
"U+1F45A", "\xe1\xbd\x85\x41", "WOMANS CLOTHES (U+1F45A)"
"U+1F45B", "\xe1\xbd\x85\x42", "PURSE (U+1F45B)"
"U+1F45C", "\xe1\xbd\x85\x43", "HANDBAG (U+1F45C)"
"U+1F45D", "\xe1\xbd\x85\x44", "POUCH (U+1F45D)"
"U+1F45E", "\xe1\xbd\x85\x45", "MANS SHOE (U+1F45E)"
"U+1F45F", "\xe1\xbd\x85\x46", "ATHLETIC SHOE (U+1F45F)"
"U+1F460", "\xe1\xbd\x86\x30", "HIGH-HEELED SHOE (U+1F460)"
"U+1F461", "\xe1\xbd\x86\x31", "WOMANS SANDAL (U+1F461)"
"U+1F462", "\xe1\xbd\x86\x32", "WOMANS BOOTS (U+1F462)"
"U+1F463", "\xe1\xbd\x86\x33", "FOOTPRINTS (U+1F463)"
"U+1F464", "\xe1\xbd\x86\x34", "BUST IN SILHOUETTE (U+1F464)"
"U+1F465", "\xe1\xbd\x86\x35", "BUSTS IN SILHOUETTE (U+1F465)"
"U+1F466", "\xe1\xbd\x86\x36", "BOY (U+1F466)"
"U+1F467", "\xe1\xbd\x86\x37", "GIRL (U+1F467)"
"U+1F468", "\xe1\xbd\x86\x38", "MAN (U+1F468)"
"U+1F469", "\xe1\xbd\x86\x39", "WOMAN (U+1F469)"
"U+1F46A", "\xe1\xbd\x86\x41", "FAMILY (U+1F46A)"
