# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+23CC", "\xe2\x8f\x8c", "DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM LEFT (U+23CC)"
"U+23CD", "\xe2\x8f\x8d", "SQUARE FOOT (U+23CD)"
"U+23CE", "\xe2\x8f\x8e", "RETURN SYMBOL (U+23CE)"
"U+23CF", "\xe2\x8f\x8f", "EJECT SYMBOL (U+23CF)"
"U+23D0", "\xe2\x8f\x90", "VERTICAL LINE EXTENSION (U+23D0)"
"U+23D1", "\xe2\x8f\x91", "METRICAL BREVE (U+23D1)"
"U+23D2", "\xe2\x8f\x92", "METRICAL LONG OVER SHORT (U+23D2)"
"U+23D3", "\xe2\x8f\x93", "METRICAL SHORT OVER LONG (U+23D3)"
"U+23D4", "\xe2\x8f\x94", "METRICAL LONG OVER TWO SHORTS (U+23D4)"
"U+23D5", "\xe2\x8f\x95", "METRICAL TWO SHORTS OVER LONG (U+23D5)"
"U+23D6", "\xe2\x8f\x96", "METRICAL TWO SHORTS JOINED (U+23D6)"
"U+23D7", "\xe2\x8f\x97", "METRICAL TRISEME (U+23D7)"
"U+23D8", "\xe2\x8f\x98", "METRICAL TETRASEME (U+23D8)"
"U+23D9", "\xe2\x8f\x99", "METRICAL PENTASEME (U+23D9)"
"U+23DA", "\xe2\x8f\x9a", "EARTH GROUND (U+23DA)"
"U+23DB", "\xe2\x8f\x9b", "FUSE (U+23DB)"
"U+23DC", "\xe2\x8f\x9c", "TOP PARENTHESIS (U+23DC)"
"U+23DD", "\xe2\x8f\x9d", "BOTTOM PARENTHESIS (U+23DD)"
"U+23DE", "\xe2\x8f\x9e", "TOP CURLY BRACKET (U+23DE)"
"U+23DF", "\xe2\x8f\x9f", "BOTTOM CURLY BRACKET (U+23DF)"
"U+23E0", "\xe2\x8f\xa0", "TOP TORTOISE SHELL BRACKET (U+23E0)"
"U+23E1", "\xe2\x8f\xa1", "BOTTOM TORTOISE SHELL BRACKET (U+23E1)"
"U+23E2", "\xe2\x8f\xa2", "WHITE TRAPEZIUM (U+23E2)"
"U+23E3", "\xe2\x8f\xa3", "BENZENE RING WITH CIRCLE (U+23E3)"
"U+23E4", "\xe2\x8f\xa4", "STRAIGHTNESS (U+23E4)"
"U+23E5", "\xe2\x8f\xa5", "FLATNESS (U+23E5)"
"U+23E6", "\xe2\x8f\xa6", "AC CURRENT (U+23E6)"
"U+23E7", "\xe2\x8f\xa7", "ELECTRICAL INTERSECTION (U+23E7)"
"U+23E8", "\xe2\x8f\xa8", "DECIMAL EXPONENT SYMBOL (U+23E8)"
"U+23E9", "\xe2\x8f\xa9", "BLACK RIGHT-POINTING DOUBLE TRIANGLE (U+23E9)"
"U+23EA", "\xe2\x8f\xaa", "BLACK LEFT-POINTING DOUBLE TRIANGLE (U+23EA)"
"U+23EB", "\xe2\x8f\xab", "BLACK UP-POINTING DOUBLE TRIANGLE (U+23EB)"
"U+23EC", "\xe2\x8f\xac", "BLACK DOWN-POINTING DOUBLE TRIANGLE (U+23EC)"
"U+23ED", "\xe2\x8f\xad", "BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR (U+23ED)"
"U+23EE", "\xe2\x8f\xae", "BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR (U+23EE)"
"U+23EF", "\xe2\x8f\xaf", "BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR (U+23EF)"
"U+23F0", "\xe2\x8f\xb0", "ALARM CLOCK (U+23F0)"
"U+23F1", "\xe2\x8f\xb1", "STOPWATCH (U+23F1)"
"U+23F2", "\xe2\x8f\xb2", "TIMER CLOCK (U+23F2)"
"U+23F3", "\xe2\x8f\xb3", "HOURGLASS WITH FLOWING SAND (U+23F3)"
