# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A0E5", "\xea\x83\xa5", "YI SYLLABLE VIP (U+A0E5)"
"U+A0E6", "\xea\x83\xa6", "YI SYLLABLE VIET (U+A0E6)"
"U+A0E7", "\xea\x83\xa7", "YI SYLLABLE VIEX (U+A0E7)"
"U+A0E8", "\xea\x83\xa8", "YI SYLLABLE VIE (U+A0E8)"
"U+A0E9", "\xea\x83\xa9", "YI SYLLABLE VIEP (U+A0E9)"
"U+A0EA", "\xea\x83\xaa", "YI SYLLABLE VAT (U+A0EA)"
"U+A0EB", "\xea\x83\xab", "YI SYLLABLE VAX (U+A0EB)"
"U+A0EC", "\xea\x83\xac", "YI SYLLABLE VA (U+A0EC)"
"U+A0ED", "\xea\x83\xad", "YI SYLLABLE VAP (U+A0ED)"
"U+A0EE", "\xea\x83\xae", "YI SYLLABLE VOT (U+A0EE)"
"U+A0EF", "\xea\x83\xaf", "YI SYLLABLE VOX (U+A0EF)"
"U+A0F0", "\xea\x83\xb0", "YI SYLLABLE VO (U+A0F0)"
"U+A0F1", "\xea\x83\xb1", "YI SYLLABLE VOP (U+A0F1)"
"U+A0F2", "\xea\x83\xb2", "YI SYLLABLE VEX (U+A0F2)"
"U+A0F3", "\xea\x83\xb3", "YI SYLLABLE VEP (U+A0F3)"
"U+A0F4", "\xea\x83\xb4", "YI SYLLABLE VUT (U+A0F4)"
"U+A0F5", "\xea\x83\xb5", "YI SYLLABLE VUX (U+A0F5)"
"U+A0F6", "\xea\x83\xb6", "YI SYLLABLE VU (U+A0F6)"
"U+A0F7", "\xea\x83\xb7", "YI SYLLABLE VUP (U+A0F7)"
"U+A0F8", "\xea\x83\xb8", "YI SYLLABLE VURX (U+A0F8)"
"U+A0F9", "\xea\x83\xb9", "YI SYLLABLE VUR (U+A0F9)"
"U+A0FA", "\xea\x83\xba", "YI SYLLABLE VYT (U+A0FA)"
"U+A0FB", "\xea\x83\xbb", "YI SYLLABLE VYX (U+A0FB)"
"U+A0FC", "\xea\x83\xbc", "YI SYLLABLE VY (U+A0FC)"
"U+A0FD", "\xea\x83\xbd", "YI SYLLABLE VYP (U+A0FD)"
"U+A0FE", "\xea\x83\xbe", "YI SYLLABLE VYRX (U+A0FE)"
"U+A0FF", "\xea\x83\xbf", "YI SYLLABLE VYR (U+A0FF)"
"U+A100", "\xea\x84\x80", "YI SYLLABLE DIT (U+A100)"
"U+A101", "\xea\x84\x81", "YI SYLLABLE DIX (U+A101)"
"U+A102", "\xea\x84\x82", "YI SYLLABLE DI (U+A102)"
"U+A103", "\xea\x84\x83", "YI SYLLABLE DIP (U+A103)"
"U+A104", "\xea\x84\x84", "YI SYLLABLE DIEX (U+A104)"
"U+A105", "\xea\x84\x85", "YI SYLLABLE DIE (U+A105)"
"U+A106", "\xea\x84\x86", "YI SYLLABLE DIEP (U+A106)"
"U+A107", "\xea\x84\x87", "YI SYLLABLE DAT (U+A107)"
"U+A108", "\xea\x84\x88", "YI SYLLABLE DAX (U+A108)"
"U+A109", "\xea\x84\x89", "YI SYLLABLE DA (U+A109)"
"U+A10A", "\xea\x84\x8a", "YI SYLLABLE DAP (U+A10A)"
"U+A10B", "\xea\x84\x8b", "YI SYLLABLE DUOX (U+A10B)"
"U+A10C", "\xea\x84\x8c", "YI SYLLABLE DUO (U+A10C)"
"U+A10D", "\xea\x84\x8d", "YI SYLLABLE DOT (U+A10D)"
"U+A10E", "\xea\x84\x8e", "YI SYLLABLE DOX (U+A10E)"
"U+A10F", "\xea\x84\x8f", "YI SYLLABLE DO (U+A10F)"
"U+A110", "\xea\x84\x90", "YI SYLLABLE DOP (U+A110)"
"U+A111", "\xea\x84\x91", "YI SYLLABLE DEX (U+A111)"
"U+A112", "\xea\x84\x92", "YI SYLLABLE DE (U+A112)"
"U+A113", "\xea\x84\x93", "YI SYLLABLE DEP (U+A113)"
"U+A114", "\xea\x84\x94", "YI SYLLABLE DUT (U+A114)"
"U+A115", "\xea\x84\x95", "YI SYLLABLE DUX (U+A115)"
"U+A116", "\xea\x84\x96", "YI SYLLABLE DU (U+A116)"
"U+A117", "\xea\x84\x97", "YI SYLLABLE DUP (U+A117)"
"U+A118", "\xea\x84\x98", "YI SYLLABLE DURX (U+A118)"
"U+A119", "\xea\x84\x99", "YI SYLLABLE DUR (U+A119)"
"U+A11A", "\xea\x84\x9a", "YI SYLLABLE TIT (U+A11A)"
"U+A11B", "\xea\x84\x9b", "YI SYLLABLE TIX (U+A11B)"
"U+A11C", "\xea\x84\x9c", "YI SYLLABLE TI (U+A11C)"
"U+A11D", "\xea\x84\x9d", "YI SYLLABLE TIP (U+A11D)"
"U+A11E", "\xea\x84\x9e", "YI SYLLABLE TIEX (U+A11E)"
"U+A11F", "\xea\x84\x9f", "YI SYLLABLE TIE (U+A11F)"
"U+A120", "\xea\x84\xa0", "YI SYLLABLE TIEP (U+A120)"
"U+A121", "\xea\x84\xa1", "YI SYLLABLE TAT (U+A121)"
"U+A122", "\xea\x84\xa2", "YI SYLLABLE TAX (U+A122)"
"U+A123", "\xea\x84\xa3", "YI SYLLABLE TA (U+A123)"
"U+A124", "\xea\x84\xa4", "YI SYLLABLE TAP (U+A124)"
"U+A125", "\xea\x84\xa5", "YI SYLLABLE TUOT (U+A125)"
"U+A126", "\xea\x84\xa6", "YI SYLLABLE TUOX (U+A126)"
"U+A127", "\xea\x84\xa7", "YI SYLLABLE TUO (U+A127)"
"U+A128", "\xea\x84\xa8", "YI SYLLABLE TUOP (U+A128)"
"U+A129", "\xea\x84\xa9", "YI SYLLABLE TOT (U+A129)"
"U+A12A", "\xea\x84\xaa", "YI SYLLABLE TOX (U+A12A)"
"U+A12B", "\xea\x84\xab", "YI SYLLABLE TO (U+A12B)"
"U+A12C", "\xea\x84\xac", "YI SYLLABLE TOP (U+A12C)"
"U+A12D", "\xea\x84\xad", "YI SYLLABLE TEX (U+A12D)"
"U+A12E", "\xea\x84\xae", "YI SYLLABLE TE (U+A12E)"
"U+A12F", "\xea\x84\xaf", "YI SYLLABLE TEP (U+A12F)"
"U+A130", "\xea\x84\xb0", "YI SYLLABLE TUT (U+A130)"
"U+A131", "\xea\x84\xb1", "YI SYLLABLE TUX (U+A131)"
"U+A132", "\xea\x84\xb2", "YI SYLLABLE TU (U+A132)"
"U+A133", "\xea\x84\xb3", "YI SYLLABLE TUP (U+A133)"
"U+A134", "\xea\x84\xb4", "YI SYLLABLE TURX (U+A134)"
"U+A135", "\xea\x84\xb5", "YI SYLLABLE TUR (U+A135)"
"U+A136", "\xea\x84\xb6", "YI SYLLABLE DDIT (U+A136)"
"U+A137", "\xea\x84\xb7", "YI SYLLABLE DDIX (U+A137)"
"U+A138", "\xea\x84\xb8", "YI SYLLABLE DDI (U+A138)"
"U+A139", "\xea\x84\xb9", "YI SYLLABLE DDIP (U+A139)"
"U+A13A", "\xea\x84\xba", "YI SYLLABLE DDIEX (U+A13A)"
"U+A13B", "\xea\x84\xbb", "YI SYLLABLE DDIE (U+A13B)"
"U+A13C", "\xea\x84\xbc", "YI SYLLABLE DDIEP (U+A13C)"
"U+A13D", "\xea\x84\xbd", "YI SYLLABLE DDAT (U+A13D)"
"U+A13E", "\xea\x84\xbe", "YI SYLLABLE DDAX (U+A13E)"
"U+A13F", "\xea\x84\xbf", "YI SYLLABLE DDA (U+A13F)"
"U+A140", "\xea\x85\x80", "YI SYLLABLE DDAP (U+A140)"
"U+A141", "\xea\x85\x81", "YI SYLLABLE DDUOX (U+A141)"
"U+A142", "\xea\x85\x82", "YI SYLLABLE DDUO (U+A142)"
"U+A143", "\xea\x85\x83", "YI SYLLABLE DDUOP (U+A143)"
"U+A144", "\xea\x85\x84", "YI SYLLABLE DDOT (U+A144)"
"U+A145", "\xea\x85\x85", "YI SYLLABLE DDOX (U+A145)"
"U+A146", "\xea\x85\x86", "YI SYLLABLE DDO (U+A146)"
"U+A147", "\xea\x85\x87", "YI SYLLABLE DDOP (U+A147)"
"U+A148", "\xea\x85\x88", "YI SYLLABLE DDEX (U+A148)"
"U+A149", "\xea\x85\x89", "YI SYLLABLE DDE (U+A149)"
"U+A14A", "\xea\x85\x8a", "YI SYLLABLE DDEP (U+A14A)"
"U+A14B", "\xea\x85\x8b", "YI SYLLABLE DDUT (U+A14B)"
"U+A14C", "\xea\x85\x8c", "YI SYLLABLE DDUX (U+A14C)"
"U+A14D", "\xea\x85\x8d", "YI SYLLABLE DDU (U+A14D)"
"U+A14E", "\xea\x85\x8e", "YI SYLLABLE DDUP (U+A14E)"
"U+A14F", "\xea\x85\x8f", "YI SYLLABLE DDURX (U+A14F)"
"U+A150", "\xea\x85\x90", "YI SYLLABLE DDUR (U+A150)"
