# Unicode Characters in the Braille Patterns Block
# Source: http://www.fileformat.info/info/unicode/block/braille_patterns/list.htm
"U+28B9", "\xe2\xa2\xb9", "BRAILLE PATTERN DOTS-14568 (U+28B9)"
"U+28BA", "\xe2\xa2\xba", "BRAILLE PATTERN DOTS-24568 (U+28BA)"
"U+28BB", "\xe2\xa2\xbb", "BRAILLE PATTERN DOTS-124568 (U+28BB)"
"U+28BC", "\xe2\xa2\xbc", "BRAILLE PATTERN DOTS-34568 (U+28BC)"
"U+28BD", "\xe2\xa2\xbd", "BRAILLE PATTERN DOTS-134568 (U+28BD)"
"U+28BE", "\xe2\xa2\xbe", "BRAILLE PATTERN DOTS-234568 (U+28BE)"
"U+28BF", "\xe2\xa2\xbf", "BRAILLE PATTERN DOTS-1234568 (U+28BF)"
"U+28C0", "\xe2\xa3\x80", "BRAILLE PATTERN DOTS-78 (U+28C0)"
"U+28C1", "\xe2\xa3\x81", "BRAILLE PATTERN DOTS-178 (U+28C1)"
"U+28C2", "\xe2\xa3\x82", "BRAILLE PATTERN DOTS-278 (U+28C2)"
"U+28C3", "\xe2\xa3\x83", "BRAILLE PATTERN DOTS-1278 (U+28C3)"
"U+28C4", "\xe2\xa3\x84", "BRAILLE PATTERN DOTS-378 (U+28C4)"
"U+28C5", "\xe2\xa3\x85", "BRAILLE PATTERN DOTS-1378 (U+28C5)"
"U+28C6", "\xe2\xa3\x86", "BRAILLE PATTERN DOTS-2378 (U+28C6)"
"U+28C7", "\xe2\xa3\x87", "BRAILLE PATTERN DOTS-12378 (U+28C7)"
"U+28C8", "\xe2\xa3\x88", "BRAILLE PATTERN DOTS-478 (U+28C8)"
"U+28C9", "\xe2\xa3\x89", "BRAILLE PATTERN DOTS-1478 (U+28C9)"
"U+28CA", "\xe2\xa3\x8a", "BRAILLE PATTERN DOTS-2478 (U+28CA)"
"U+28CB", "\xe2\xa3\x8b", "BRAILLE PATTERN DOTS-12478 (U+28CB)"
"U+28CC", "\xe2\xa3\x8c", "BRAILLE PATTERN DOTS-3478 (U+28CC)"
"U+28CD", "\xe2\xa3\x8d", "BRAILLE PATTERN DOTS-13478 (U+28CD)"
"U+28CE", "\xe2\xa3\x8e", "BRAILLE PATTERN DOTS-23478 (U+28CE)"
"U+28CF", "\xe2\xa3\x8f", "BRAILLE PATTERN DOTS-123478 (U+28CF)"
"U+28D0", "\xe2\xa3\x90", "BRAILLE PATTERN DOTS-578 (U+28D0)"
"U+28D1", "\xe2\xa3\x91", "BRAILLE PATTERN DOTS-1578 (U+28D1)"
"U+28D2", "\xe2\xa3\x92", "BRAILLE PATTERN DOTS-2578 (U+28D2)"
"U+28D3", "\xe2\xa3\x93", "BRAILLE PATTERN DOTS-12578 (U+28D3)"
"U+28D4", "\xe2\xa3\x94", "BRAILLE PATTERN DOTS-3578 (U+28D4)"
"U+28D5", "\xe2\xa3\x95", "BRAILLE PATTERN DOTS-13578 (U+28D5)"
"U+28D6", "\xe2\xa3\x96", "BRAILLE PATTERN DOTS-23578 (U+28D6)"
"U+28D7", "\xe2\xa3\x97", "BRAILLE PATTERN DOTS-123578 (U+28D7)"
"U+28D8", "\xe2\xa3\x98", "BRAILLE PATTERN DOTS-4578 (U+28D8)"
"U+28D9", "\xe2\xa3\x99", "BRAILLE PATTERN DOTS-14578 (U+28D9)"
"U+28DA", "\xe2\xa3\x9a", "BRAILLE PATTERN DOTS-24578 (U+28DA)"
"U+28DB", "\xe2\xa3\x9b", "BRAILLE PATTERN DOTS-124578 (U+28DB)"
"U+28DC", "\xe2\xa3\x9c", "BRAILLE PATTERN DOTS-34578 (U+28DC)"
"U+28DD", "\xe2\xa3\x9d", "BRAILLE PATTERN DOTS-134578 (U+28DD)"
"U+28DE", "\xe2\xa3\x9e", "BRAILLE PATTERN DOTS-234578 (U+28DE)"
"U+28DF", "\xe2\xa3\x9f", "BRAILLE PATTERN DOTS-1234578 (U+28DF)"
"U+28E0", "\xe2\xa3\xa0", "BRAILLE PATTERN DOTS-678 (U+28E0)"
"U+28E1", "\xe2\xa3\xa1", "BRAILLE PATTERN DOTS-1678 (U+28E1)"
"U+28E2", "\xe2\xa3\xa2", "BRAILLE PATTERN DOTS-2678 (U+28E2)"
"U+28E3", "\xe2\xa3\xa3", "BRAILLE PATTERN DOTS-12678 (U+28E3)"
"U+28E4", "\xe2\xa3\xa4", "BRAILLE PATTERN DOTS-3678 (U+28E4)"
"U+28E5", "\xe2\xa3\xa5", "BRAILLE PATTERN DOTS-13678 (U+28E5)"
"U+28E6", "\xe2\xa3\xa6", "BRAILLE PATTERN DOTS-23678 (U+28E6)"
"U+28E7", "\xe2\xa3\xa7", "BRAILLE PATTERN DOTS-123678 (U+28E7)"
"U+28E8", "\xe2\xa3\xa8", "BRAILLE PATTERN DOTS-4678 (U+28E8)"
"U+28E9", "\xe2\xa3\xa9", "BRAILLE PATTERN DOTS-14678 (U+28E9)"
"U+28EA", "\xe2\xa3\xaa", "BRAILLE PATTERN DOTS-24678 (U+28EA)"
"U+28EB", "\xe2\xa3\xab", "BRAILLE PATTERN DOTS-124678 (U+28EB)"
"U+28EC", "\xe2\xa3\xac", "BRAILLE PATTERN DOTS-34678 (U+28EC)"
"U+28ED", "\xe2\xa3\xad", "BRAILLE PATTERN DOTS-134678 (U+28ED)"
"U+28EE", "\xe2\xa3\xae", "BRAILLE PATTERN DOTS-234678 (U+28EE)"
"U+28EF", "\xe2\xa3\xaf", "BRAILLE PATTERN DOTS-1234678 (U+28EF)"
"U+28F0", "\xe2\xa3\xb0", "BRAILLE PATTERN DOTS-5678 (U+28F0)"
"U+28F1", "\xe2\xa3\xb1", "BRAILLE PATTERN DOTS-15678 (U+28F1)"
"U+28F2", "\xe2\xa3\xb2", "BRAILLE PATTERN DOTS-25678 (U+28F2)"
"U+28F3", "\xe2\xa3\xb3", "BRAILLE PATTERN DOTS-125678 (U+28F3)"
"U+28F4", "\xe2\xa3\xb4", "BRAILLE PATTERN DOTS-35678 (U+28F4)"
"U+28F5", "\xe2\xa3\xb5", "BRAILLE PATTERN DOTS-135678 (U+28F5)"
"U+28F6", "\xe2\xa3\xb6", "BRAILLE PATTERN DOTS-235678 (U+28F6)"
"U+28F7", "\xe2\xa3\xb7", "BRAILLE PATTERN DOTS-1235678 (U+28F7)"
"U+28F8", "\xe2\xa3\xb8", "BRAILLE PATTERN DOTS-45678 (U+28F8)"
"U+28F9", "\xe2\xa3\xb9", "BRAILLE PATTERN DOTS-145678 (U+28F9)"
"U+28FA", "\xe2\xa3\xba", "BRAILLE PATTERN DOTS-245678 (U+28FA)"
"U+28FB", "\xe2\xa3\xbb", "BRAILLE PATTERN DOTS-1245678 (U+28FB)"
"U+28FC", "\xe2\xa3\xbc", "BRAILLE PATTERN DOTS-345678 (U+28FC)"
"U+28FD", "\xe2\xa3\xbd", "BRAILLE PATTERN DOTS-1345678 (U+28FD)"
"U+28FE", "\xe2\xa3\xbe", "BRAILLE PATTERN DOTS-2345678 (U+28FE)"
"U+28FF", "\xe2\xa3\xbf", "BRAILLE PATTERN DOTS-12345678 (U+28FF)"
